Country,Number Country Code
afghanistan,1
albania,2
algeria,3
american samoa,4
andorra,5
angola,6
antigua and barbuda,7
argentina,8
armenia,9
aruba,10
australia,11
austria,12
azerbaijan,13
"bahamas, the",14
bahrain,15
bangladesh,16
barbados,17
belarus,18
belgium,19
belize,20
benin,21
bermuda,22
bhutan,23
bolivia,24
bosnia and herzegovina,25
botswana,26
brazil,27
brunei darussalam,28
bulgaria,29
burkina faso,30
burundi,31
cambodia,32
cameroon,33
canada,34
cayman islands,35
central african republic,36
chad,37
chile,38
china,39
colombia,40
comoros,41
"congo, dem. rep.",42
"congo, rep.",43
costa rica,44
cote d'ivoire,45
croatia,46
cuba,47
curacao,48
cyprus,49
denmark,50
djibouti,51
dominica,52
dominican republic,53
ecuador,54
"egypt, arab rep.",55
el salvador,56
equatorial guinea,57
estonia,58
ethiopia,59
fiji,60
finland,61
france,62
french polynesia,63
gabon,64
"gambia, the",65
georgia,66
germany,67
ghana,68
greece,69
greenland,70
grenada,71
guam,72
guatemala,73
guinea,74
guinea-bissau,75
guyana,76
haiti,77
honduras,78
"hong kong sar, china",79
hungary,80
iceland,81
india,82
indonesia,83
"iran, islamic rep.",84
iraq,85
ireland,86
isle of man,87
israel,88
italy,89
jamaica,90
japan,91
jordan,92
kazakhstan,93
kenya,94
kiribati,95
"korea, rep.",96
kosovo,97
kuwait,98
kyrgyz republic,99
lao pdr,100
latvia,101
lebanon,102
lesotho,103
liberia,104
libya,105
liechtenstein,106
lithuania,107
luxembourg,108
"macao sar, china",109
madagascar,110
malawi,111
malaysia,112
maldives,113
mali,114
malta,115
marshall islands,116
mauritania,117
mauritius,118
mexico,119
"micronesia, fed. sts.",120
moldova,121
monaco,122
mongolia,123
montenegro,124
morocco,125
mozambique,126
myanmar,127
namibia,128
nepal,129
netherlands,130
new caledonia,131
new zealand,132
nicaragua,133
niger,134
nigeria,135
northern mariana islands,136
norway,137
oman,138
pakistan,139
palau,140
panama,141
papua new guinea,142
paraguay,143
peru,144
philippines,145
poland,146
portugal,147
puerto rico,148
qatar,149
romania,150
russian federation,151
rwanda,152
samoa,153
san marino,154
sao tome and principe,155
saudi arabia,156
senegal,157
serbia,158
seychelles,159
sierra leone,160
singapore,161
sint maarten (dutch part),162
slovak republic,163
slovenia,164
solomon islands,165
somalia,166
south africa,167
south sudan,168
spain,169
sri lanka,170
st. kitts and nevis,171
st. lucia,172
st. vincent and the grenadines,173
sudan,174
suriname,175
sweden,176
switzerland,177
syrian arab republic,178
tajikistan,179
tanzania,180
thailand,181
timor-leste,182
togo,183
tonga,184
trinidad and tobago,185
tunisia,186
turkmenistan,187
turks and caicos islands,188
tuvalu,189
uganda,190
ukraine,191
united arab emirates,192
united kingdom,193
united states,194
uruguay,195
uzbekistan,196
vanuatu,197
virgin islands (u.s.),198
west bank and gaza,199
"yemen, rep.",200
zambia,201
zimbabwe,202
